n,table 1,table 2,table 3,average,backtrack 1,backtrack 2,backtrack 3,average,value 1,value 2,value 3
81100,0.1370839,0.1362678,0.1363115,0.1365544,0.0116957,0.0114226,0.011684,0.011600766666666667,4517,4631,4686
82100,0.1402541,0.1392328,0.1396828,0.13972323333333334,0.0116672,0.0118196,0.0120896,0.011858800000000001,4788,4666,4656
83100,0.1392128,0.13828,0.1431978,0.1402302,0.0124128,0.0120307,0.0123949,0.012279466666666667,4492,4678,4836
84100,0.142366,0.165266,0.1415046,0.1497122,0.0120483,0.0121683,0.0117515,0.011989366666666666,4535,4521,4840
85100,0.1479006,0.1458395,0.1430662,0.14560209999999998,0.0122225,0.0122251,0.013189,0.012545533333333332,4694,4496,4724
86100,0.1476356,0.1480133,0.1460003,0.1472164,0.0130065,0.0131687,0.0138465,0.013340566666666666,4740,4772,4496
87100,0.1495898,0.1474305,0.1470094,0.1480099,0.0138969,0.0126989,0.0133097,0.013301833333333334,4624,4664,4661
88100,0.1523433,0.154267,0.1499125,0.15217426666666667,0.0133286,0.0129622,0.0133602,0.013217,4546,4801,4751
89100,0.1502705,0.1542365,0.1749943,0.15983376666666665,0.013156,0.0244633,0.0125896,0.0167363,4567,4540,4778
90100,0.1510621,0.1812493,0.1534362,0.16191586666666669,0.0132811,0.01393,0.0135312,0.013580766666666667,4734,4625,4686
91100,0.1553388,0.1548026,0.1558192,0.1553202,0.0137706,0.0137765,0.0137592,0.013768766666666666,4767,4562,4717
92100,0.1592745,0.158303,0.1576534,0.1584103,0.0144942,0.0136558,0.0141086,0.0140862,4791,4784,4631
93100,0.1610003,0.1622442,0.1571312,0.16012523333333337,0.0145582,0.0141427,0.0137084,0.014136433333333335,4646,4723,4573
94100,0.1634901,0.1671631,0.161636,0.1640964,0.01452,0.0144336,0.0137992,0.014250933333333334,4568,4802,4499
95100,0.1643305,0.1623192,0.1615978,0.16274916666666667,0.0144954,0.0148738,0.0146574,0.014675533333333332,4582,4608,4565
96100,0.1664422,0.1633508,0.165851,0.16521466666666665,0.0141077,0.0148211,0.0136394,0.0141894,4826,4584,4722
97100,0.1667881,0.1685551,0.1671467,0.16749663333333334,0.0148998,0.0147431,0.0144899,0.014710933333333334,4631,4695,4752
98100,0.1710976,0.1670527,0.1673391,0.16849646666666665,0.0144363,0.0153894,0.0152615,0.015029066666666665,4598,4612,4683
99100,0.1684924,0.167542,0.1698084,0.16861426666666665,0.0157249,0.0147407,0.0144305,0.014965366666666667,4714,4658,4822
100000,0.1723589,0.1691814,0.1688807,0.17014033333333334,0.0158126,0.0159765,0.0154024,0.015730499999999998,4714,4733,4622
