n,table 1,table 2,table 3,average,backtrack 1,backtrack 2,backtrack 3,average,cache miss 1,cache miss 2,cache miss 3,average,cache hit 1,cache hit 2,cache hit 3,average
84100,0.659431917,0.677909709,0.910246292,0.7491959726666667,0.016599917,0.01139,0.015878458,0.014622791666666668,75534637,75533104,75542126,75536622.33333333,19234835,19231958,19268894,19245229
85100,0.991604917,0.987964625,1.023558916,1.0010428193333334,0.012608375,0.0184095,0.018086458,0.016368111,76469212,76404792,76443148,76439050.66666667,19280061,19508374,19415461,19401298.666666668
86100,1.002073,0.881,0.8580915,0.9137215,0.013774917,0.0207235,0.016594708,0.017031041666666667,77375826,77357010,77349976,77360937.33333333,19709122,19703197,19690236,19700851.666666668
87100,0.872911167,0.931727375,0.701921083,0.8355198750000001,0.016396,0.024711292,0.01105925,0.017388847333333336,78229898,78227178,78259551,78238875.66666667,19755409,19897559,19981631,19878199.666666668
88100,0.876065167,0.679026333,0.826349792,0.7938137639999999,0.009642084,0.008529417,0.032581167,0.016917556,79159596,79144286,79160430,79154770.66666667,20083609,20166872,20205817,20152099.333333332
89100,0.711810584,0.664254333,0.653073125,0.6763793473333334,0.016203375,0.012966625,0.00962175,0.012930583333333334,80060776,80058585,80058822,80059394.33333333,20318584,20431157,20455703,20401814.666666668
90100,0.661197916,0.666659,0.673079292,0.666978736,0.014419333,0.011343333,0.013296625,0.013019763666666665,80977749,80998704,80971228,80982560.33333333,20676651,20548986,20526669,20584102
91100,0.67661825,0.740216292,0.694669792,0.703834778,0.013125958,0.0096805,0.013649375,0.012151944333333333,81880671,81883846,81858098,81874205,20810488,20765618,20931190,20835765.333333332
92100,0.82079275,0.819071083,0.72927475,0.7897128609999999,0.024798958,0.051388333,0.012520917,0.02956940266666667,82767613,82799809,82782065,82783162.33333333,21216254,21166880,21067742,21150292
93100,0.686471667,0.687640791,0.688301458,0.6874713053333332,0.017477917,0.014492625,0.011109708,0.014360083333333334,83672361,83680930,83674356,83675882.33333333,21245122,21282226,21289241,21272196.333333332
94100,0.701508666,0.716575458,0.696792042,0.7049587220000001,0.015891625,0.008715459,0.010859334,0.011822139333333334,84556194,84604736,84586874,84582601.33333333,21459374,21713890,21560229,21577831
95100,0.703170084,0.695263834,0.756439792,0.7182912366666666,0.014353292,0.008551542,0.016047375,0.012984069666666667,85480007,85491434,85441599,85471013.33333333,21704749,21850608,21809157,21788171.333333332
96100,0.769943,0.710268209,0.699501833,0.7265710140000001,0.0145615,0.015418375,0.010862958,0.013614277666666667,86383690,86392795,86342297,86372927.33333333,22084723,22198836,22157060,22146873
97100,0.712812,0.725878792,0.710128542,0.7162731113333334,0.011485792,0.011563917,0.010632834,0.011227514333333334,87274859,87307495,87315832,87299395.33333333,22221178,22185954,22282484,22229872
98100,0.722533083,0.721914958,0.721089,0.7218456803333333,0.012135667,0.016377583,0.011362417,0.013291889000000001,88200840,88169764,88155901,88175501.66666667,22682017,22445043,22508824,22545294.666666668
99100,0.732667084,0.726391208,0.726267542,0.7284419446666667,0.013980083,0.00950275,0.008993292,0.010825375,89079760,89100503,89078961,89086408,22612562,22680983,22813124,22702223
100000,0.80978975,0.791554291,0.735378041,0.7789073606666667,0.010215209,0.014174208,0.011573417,0.011987611333333334,89898865,89875086,89893681,89889210.66666667,22785803,22785577,22980411,22850597
